id,fill,category,type,brand,bottle,age,abv,proof,cask,distillery,corp_owner,origin,char_level,mash_bill,tasting_notes
0001,plenty,Scotch,Single Malt Scotch,Aberfeldy,12 yr,12,40%,80°,Ex-bourbon & sherry hogsheads,Aberfeldy Distillery,Bacardi,Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0002,average,Scotch,Single Malt Scotch,Aberlour,12 yr,12,40%,80°,Ex-bourbon & Oloroso sherry,Aberlour Distillery,Pernod Ricard,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Leather, apricot, purple grapes, oreo creme, graham cracker"", ""palate"": ""Soft creamy fruit into leather, cinnamon metalic (in a good way) spice, and dark red fruit"", ""finish"": ""Medium""}"
0003,average,Scotch,Single Malt Scotch,Aberlour,A'Bunadh Alba,(10-12),57.1%,114.2°,Ex-bourbon only (cask strength),Aberlour Distillery,Pernod Ricard,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0004,low,Scotch,Single Malt Scotch,Ardbeg,10 yr,10,46%,92°,Ex-bourbon (1st & 2nd fill),Ardbeg Distillery,LVMH (Moët Hennessy Louis Vuitton),Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0005,average,Scotch,Single Malt Scotch,Ardbeg,Uigeadail,(6-10),54.2%,108.4°,Ex-bourbon & Oloroso sherry (vatted NAS),Ardbeg Distillery,LVMH (Moët Hennessy Louis Vuitton),Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0006,average,Scotch,Single Malt Scotch,Bruichladdich,The Classic Laddie,(5-10),50%,100°,"Ex-bourbon (1st & 2nd fill); ex-wine (Sauternes, Pauillac, Sherry, Madeira, Rivesaltes)",Bruichladdich Distillery,Rémy Cointreau,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0007,extremely-low,Scotch,Single Malt Scotch,Bunnahabhain,12 yr,12,46.3%,92.6°,Ex-bourbon & sherry,Bunnahabhain Distillery,Distell (Heineken),Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0008,plenty,Scotch,Single Malt Scotch,Bunnahabhain,Stiuireadair,(7-10),46.3%,92.6°,Oloroso sherry (1st & 2nd fill only),Bunnahabhain Distillery,Distell (Heineken),Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Hot baked cherry pie with vanilla ice cream on top,"", ""palate"": ""Soft red fruit covered in cream turns to baking spice (not cinnamon or pepper. something else more citrus and mint)"", ""finish"": ""Long""}"
0009,plenty,Scotch,Single Malt Scotch,Caol Ila,12 yr,12,43%,86°,Ex-bourbon (peated malt),Caol Ila Distillery,Diageo,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0010,extremely-low,Scotch,Single Malt Scotch,Glenfarclas,12 yr,12,43%,86°,Oloroso sherry butts exclusively,Glenfarclas Distillery,J&G Grant (Independent),Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0011,low,Scotch,Single Malt Scotch,Glenfiddich,12 yr,12,40%,80°,Ex-bourbon & Oloroso sherry,Glenfiddich Distillery,William Grant & Sons,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0012,plenty,Scotch,Single Malt Scotch,Glenfiddich,14 yr,14,43%,86°,Ex-bourbon; Finished: new charred American oak,Glenfiddich Distillery,William Grant & Sons,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Floral, honey, vanilla, hot cocoa powder, apricot,"", ""palate"": ""Citrus creamsicle, honey-mint spice"", ""finish"": ""Short""}"
0013,average,Scotch,Single Malt Scotch,Glenfiddich,15 yr,15,40%,80°,"Ex-bourbon, Oloroso sherry & new American oak (Solera vat)",Glenfiddich Distillery,William Grant & Sons,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0014,extremely-low,Scotch,Single Malt Scotch,Glenmorangie,The Original 10 yr,10,43%,86°,Ex-bourbon,Glenmorangie Distillery,LVMH (Moët Hennessy Louis Vuitton),Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0015,average,Scotch,Single Malt Scotch,Glenmorangie,Triple Cask Reserve,(8-10),40%,80°,"Ex-bourbon, Oloroso sherry & Madeira",Glenmorangie Distillery,LVMH (Moët Hennessy Louis Vuitton),Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Flowers, citrus, marshmallow fluff, honey, light wood, red licorice"", ""palate"": ""Light, sweet, fruity, floral, metalic spice on the end"", ""finish"": ""Short""}"
0016,plenty,Scotch,Single Malt Scotch,Highland Park,12 yr,12,43%,86°,Sherry-seasoned European & American oak (lightly peated),Highland Park Distillery,Edrington Group,Scotland (Orkney),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Band-aid peat surrounded by red fruit, strawberry shortcake, dried cranberry"", ""palate"": ""Metallic into cherry cough drop, band-aid"", ""finish"": """"}"
0017,average,Scotch,Single Malt Scotch,Isle of Raasay,Hebridean Single Malt,(3-5),46.4%,92.8°,"Ex-bourbon & STR casks (sherry, toasted, recharred)",Isle of Raasay Distillery,R&B Distillers,Scotland (Island),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0018,low,Scotch,Blended Scotch,Johnnie Walker,Black Label,12,40%,80°,"Ex-bourbon, sherry & refill (blended)",Various (Blended),Diageo,Scotland,N/A,"{""corn"": ""(40)"", ""barley"": """", ""maltedBarley"": ""(60)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0019,plenty,Scotch,Blended Scotch,Johnnie Walker,White Walker,(10-12),41.7%,83.4°,Ex-bourbon & refill (blended NAS),Various (Blended),Diageo,Scotland,N/A,"{""corn"": ""(40)"", ""barley"": """", ""maltedBarley"": ""(60)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0020,average,Scotch,Single Malt Scotch,Lagavulin,16 yr,16,43%,86°,Ex-bourbon & sherry hogsheads,Lagavulin Distillery,Diageo,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0021,plenty,Scotch,Single Malt Scotch,Lagavulin,8 yr,8,48%,96°,Ex-bourbon (heavily peated),Lagavulin Distillery,Diageo,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0022,plenty,Scotch,Single Malt Scotch,Laphroaig,10 yr,10,43%,86°,Ex-bourbon (heavily peated; floor malted on-site),Laphroaig Distillery,Beam Suntory,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0023,average,Scotch,Single Malt Scotch,Laphroaig,10 yr Cask Strength,10,57.9%,115.8°,"Ex-bourbon, cask strength (floor malted on-site)",Laphroaig Distillery,Beam Suntory,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
